theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
9.049478341985457419e-01,7.610370194511988373e-01,-6.472660774870941935e-01,-5.443335270688892669e-01
6.721367390793142604e-01,9.952129325324918785e-01,-4.660442472730398356e-01,-6.900578930617989881e-01
8.374660752071805270e-01,8.289500582225948211e-01,-6.031411419245682470e-01,-5.970079260716617542e-01
3.570079784105552045e-01,1.175122197368184462e+00,-2.366851090632544341e-01,-7.790692148814922779e-01
7.393744891059049751e-01,9.540623610441626434e-01,-5.074950957670050222e-01,-6.548534963267442777e-01
8.959462950150484106e-01,7.694917823360856168e-01,-6.423302934428543054e-01,-5.516713279577780682e-01
9.821453124808812163e-01,6.884082127037635113e-01,-6.827493073383228417e-01,-4.785546745646730993e-01
8.858637237690110133e-01,8.084588256877500712e-01,-6.158844757092216682e-01,-5.620697931649643042e-01
7.221719872927716555e-01,9.487793833613977768e-01,-5.079584452151192364e-01,-6.673486494970267691e-01
8.651080017796134447e-01,8.268277630757927543e-01,-6.041020735497671934e-01,-5.773711087114031804e-01
4.076315951670798632e-01,1.137565424897298394e+00,-2.791579229672979112e-01,-7.790377512900588108e-01
7.438766388629131088e-01,9.113386335646301850e-01,-5.375256259197782605e-01,-6.585337458379031395e-01
5.385980821020258658e-01,1.086788603766900119e+00,-3.660950566727558253e-01,-7.387102715526955299e-01
9.312202874004128494e-01,7.322239133189787363e-01,-6.635822489818380410e-01,-5.217785713355743704e-01
8.980930962944815299e-01,7.711240542530631847e-01,-6.409440781561566158e-01,-5.503298022627330921e-01
6.753032701534056326e-01,1.002076214189057346e+00,-4.624759065850107542e-01,-6.862636775312562776e-01
3.774844817034810895e-01,1.165542605194801018e+00,-2.514913263191684845e-01,-7.765189560618601661e-01
5.888873305599137131e-01,1.031660524879477459e+00,-4.173215482673655607e-01,-7.310976908259766427e-01
6.025085105038333610e-01,1.022803280709598805e+00,-4.275708614730752699e-01,-7.258335313550868806e-01
6.803456285728786135e-01,9.640863751706316709e-01,-4.886372503984741100e-01,-6.924252846280265494e-01
6.073534378082091623e-01,1.035945672782972116e+00,-4.211702349672314383e-01,-7.183782214089802221e-01
9.093156931166602730e-01,7.775886938997859099e-01,-6.352191387223882213e-01,-5.431988297994974069e-01
6.270990987890397994e-01,1.041087968216172222e+00,-4.245424791339035275e-01,-7.048105600477978516e-01
6.863508620527946080e-01,9.768819367429603107e-01,-4.815227327500875565e-01,-6.853504319172627479e-01
7.149096627748557919e-01,9.614812902846825438e-01,-4.980067557905042408e-01,-6.697687876667255402e-01
9.073427221332777126e-01,7.629578334317027588e-01,-6.456229960280310820e-01,-5.428854061948126253e-01
9.314039647909090336e-01,7.430330056598906108e-01,-6.560978372669342695e-01,-5.234059188709201393e-01
3.960952857484472123e-01,1.164567832503619726e+00,-2.617756548879457412e-01,-7.696519448319782963e-01
7.722702770868912214e-01,9.173177596548045543e-01,-5.370920388488865660e-01,-6.379684424263527553e-01
9.605952314444969886e-01,7.001114530680293546e-01,-6.798752526608581315e-01,-4.955140682195749435e-01
5.584192274611354811e-01,1.071329317156901384e+00,-3.825893656201546644e-01,-7.339990882564281227e-01
5.659882380989978978e-01,1.081695879233050661e+00,-3.797537232432975918e-01,-7.257713321665062445e-01
7.259502413871222748e-01,9.567687409136836907e-01,-5.032897390662149917e-01,-6.633125281989896704e-01
5.044349348764357588e-01,1.110311645348752929e+00,-3.391737124890900623e-01,-7.465551981744759091e-01
9.620002419966524609e-01,7.057066721344696925e-01,-6.758152215244567218e-01,-4.957663107963161120e-01
6.782345290685264372e-01,1.007325382063134045e+00,-4.599115337558616345e-01,-6.830683806265738234e-01
3.792484836850993357e-01,1.158417815215046387e+00,-2.552553342299657690e-01,-7.796796541609514186e-01
9.283332453804954421e-01,7.512893546760173180e-01,-6.508963050348387513e-01,-5.267628487981137475e-01
4.485513003872471649e-01,1.104005578316611169e+00,-3.158752834622867711e-01,-7.774541611932423990e-01
7.431485753258535443e-01,9.114517652864846387e-01,-5.373398301934207977e-01,-6.590328677866134077e-01
7.363860406310394069e-01,9.520306806779618158e-01,-5.083338452585528522e-01,-6.571952617385709017e-01
6.200334122883547350e-01,1.024384396726190749e+00,-4.324392006820008683e-01,-7.144517713593345754e-01
7.186904513681242612e-01,9.394562374780045522e-01,-5.136827532915210215e-01,-6.714747159168923396e-01
8.087990861894502892e-01,8.945132123149228676e-01,-5.561394546298948915e-01,-6.150774630567893420e-01
6.373597029428735850e-01,1.020082282340258217e+00,-4.405320665254760515e-01,-7.050633320407075910e-01
7.471253626276878057e-01,9.146418985912818655e-01,-5.356635475983695382e-01,-6.557672228638614653e-01
7.809167542612591717e-01,9.096167995208815915e-01,-5.433470943339828718e-01,-6.328941494469443318e-01
7.413810683132527890e-01,9.224069851697134226e-01,-5.293762033252445987e-01,-6.586360626132260476e-01
7.564763049390420546e-01,9.016300922344366864e-01,-5.461160885663340903e-01,-6.509056477908471416e-01
6.952603564490794641e-01,9.798785563044856151e-01,-4.816326853629277482e-01,-6.787982890507908706e-01
8.676716868083016454e-01,7.972419529456628018e-01,-6.249215902302707182e-01,-5.741961119715119910e-01
6.608663886225961681e-01,1.015509395457553143e+00,-4.501803241208431894e-01,-6.917621423411751680e-01
4.965177904241008799e-01,1.108414886973203783e+00,-3.365963350430249412e-01,-7.514099108989339415e-01
6.874759543961602715e-01,9.718967179020674418e-01,-4.850923235992655735e-01,-6.857834578370338718e-01
6.792554505085399708e-01,1.008563569322254327e+00,-4.593945359943228945e-01,-6.821124403237304179e-01
6.097485451452071548e-01,1.016955206610992812e+00,-4.336787837476964724e-01,-7.233012700734107181e-01
5.555314699460236483e-01,1.071202313363453618e+00,-3.815228582315787209e-01,-7.356705973442204671e-01
5.225578308194804844e-01,1.061453834672261731e+00,-3.733220101770239330e-01,-7.583162205196194439e-01
